No UNIDAD,DIA,MES,HORA SALIDA,TIEMPO DE VIAJE,DISTANCIA METROS,LONGITUD SALIDA,LATITUD SALIDA,LONGITUD LLEGADA,LATITUD LLEGADA,DT,SALIDA,SALIDA2
4,3,3,1.833333333,0.761666667,181.1,-116.850033,32.504492,-116.849627,32.505985,1.238333333,INCREMENTO,1
2,3,3,8.05,17.50666667,8552.3,-116.885263,32.448297,-116.949348,32.459438,-3.506666667,DP,2
6,3,3,11.61666667,19.43666667,10347.7,-116.933495,32.546418,-116.987268,32.513225,-5.436666667,DP,2
2,3,3,13.7,10.12833333,5100.5,-116.845132,32.469928,-116.885118,32.4481,2.871666667,INCREMENTO,1
5,3,3,14.6,6.28,4650.7,-117.005458,32.520328,-116.964061,32.506773,-0.28,INCREMENTO,1
4,3,3,15.58333333,7.973333333,6126.7,-116.82699,32.456633,-116.885123,32.44809,5.026666667,INCREMENTO,1
5,3,3,16,12.98,4695.6,-116.964894,32.501546,-116.956299,32.4819,-0.98,INCREMENTO,1
6,3,3,16.36666667,2.253333333,731,-116.924167,32.54658,-116.921078,32.548878,1.746666667,INCREMENTO,1
4,3,3,16.41666667,17.215,6997.5,-116.945623,32.502855,-116.948288,32.467455,0.785,INCREMENTO,1
5,3,3,16.83333333,10.145,3470.1,-116.931772,32.483215,-116.948838,32.481384,13.855,INCREMENTO,1
6,3,3,17.31666667,20.99666667,12419.9,-117.010032,32.52549,-116.917353,32.496427,1.003333333,INCREMENTO,1
2,3,3,19.1,1.508333333,193.9,-117.01014,32.525495,-117.009847,32.526502,0.491666667,INCREMENTO,1
2,3,3,21.3,6.206666667,2008.1,-116.985543,32.507775,-116.970722,32.501335,0.793333333,INCREMENTO,1
6,3,3,22.5,13.935,9140.6,-116.89968,32.529382,-116.969715,32.508327,-4.935,DP,2
4,4,3,8.05,2.683333333,1836.2,-116.86831,32.44375,-116.886323,32.444742,0.316666667,INCREMENTO,1
6,4,3,9,1.218333333,339.4,-116.983978,32.516995,-116.984587,32.519643,-0.218333333,INCREMENTO,1
4,4,3,9.2,15.54166667,16067.4,-116.884908,32.448672,-117.01005,32.525512,0.458333333,INCREMENTO,1
5,4,3,12.1,24.54333333,13790.3,-117.004501,32.458975,-117.010015,32.52545,-10.54333333,DM,3
6,4,3,14.61666667,7.518333333,2191.3,-116.919643,32.500345,-116.926435,32.488472,-3.518333333,DP,2
5,4,3,14.71666667,2.183333333,738.3,-116.972014,32.502553,-116.974237,32.506598,3.816666667,INCREMENTO,1
6,4,3,15.8,10.56333333,4955,-116.963917,32.506935,-116.924355,32.504895,-2.563333333,DP,2
5,4,3,15.86666667,8.078333333,3621.6,-116.963216,32.515194,-116.985633,32.521263,-1.078333333,INCREMENTO,1
6,4,3,16.88333333,11.80333333,5172.4,-116.964763,32.506407,-116.993498,32.486995,-0.803333333,INCREMENTO,1
4,4,3,19.1,0.753333333,436.5,-116.891998,32.456418,-116.88887,32.453615,2.246666667,INCREMENTO,1
