No UNIDAD,DIA,MES,HORA SALIDA,TIEMPO DE VIAJE,DISTANCIA METROS,LONGITUD SALIDA,LATITUD SALIDA,LONGITUD LLEGADA,LATITUD LLEGADA,DT,SALIDA,SALIDA2
5,4,1,17.95333333,3.371666667,1098.7,-117.010551,32.525865,-117.010454,32.520206,1.628333333,INCREMENTO,1
4,4,1,18.37527778,6.665,2371,-116.848707,32.490483,-116.827965,32.489693,-0.565,INCREMENTO,1
4,4,1,19.19305556,21.58833333,9834.8,-116.837672,32.470185,-116.875807,32.53055,3.028333337,INCREMENTO,1
6,4,1,21.45833333,16.37333333,6618.1,-117.004608,32.46793,-116.963962,32.506837,-1.890000003,DP,2
1,4,1,21.77416667,19.82833333,17733.4,-116.727512,32.494469,-116.868614,32.443851,-1.828333333,INCREMENTO,1
6,5,1,11.45555556,8.526666667,5423.5,-117.01208,32.524402,-116.964052,32.506758,0.056666666,INCREMENTO,1
4,5,1,12.3375,9.145,4942.5,-116.904887,32.45451,-116.869877,32.452165,2.48833333,INCREMENTO,1
5,5,1,13.68833333,2.581666667,914.7,-116.948811,32.498923,-116.954326,32.497496,0.418333333,INCREMENTO,1
6,5,1,14.13305556,4.973333333,1531.6,-117.01004,32.525458,-117.010603,32.523503,1.226666667,INCREMENTO,1
4,5,1,15.67111111,16.94,6278.1,-116.885167,32.448143,-116.872362,32.484312,-9.473333333,DM,3
3,5,1,19.20805556,2.953333333,626.1,-116.968241,32.510586,-116.963932,32.506873,6.063333334,INCREMENTO,1
1,5,1,19.60083333,5.511666667,1982.1,-116.880817,32.463147,-116.885045,32.448111,4.788333333,INCREMENTO,1
5,5,1,19.99333333,5.26,1680.9,-116.969671,32.474939,-116.973069,32.461152,2.74,INCREMENTO,1
5,5,1,21.99277778,4.103333333,748.5,-117.032057,32.533983,-117.035115,32.535299,-0.103333333,INCREMENTO,1
5,6,1,9.260555556,7.693333333,2523.4,-116.988656,32.510685,-116.964003,32.506848,-0.376666666,INCREMENTO,1
1,6,1,10.63694444,3.605,1599.8,-116.881317,32.501607,-116.885762,32.503394,-1.605,INCREMENTO,1
1,6,1,12.53944444,6.99,2484.9,-117.008591,32.525737,-116.986796,32.51987,-2.99,DP,2
7,6,1,12.79027778,8.218333333,2911.9,-116.889754,32.500411,-116.868568,32.494262,-1.368333333,INCREMENTO,1
1,6,1,12.85611111,18.50166667,9884.6,-116.986143,32.523276,-116.908896,32.499402,-5.484999997,DP,2
4,6,1,13.00222222,6.24,1644,-116.885257,32.448267,-116.892408,32.459228,-3.19,DP,2
2,6,1,13.55,22.13666667,18202,-116.885285,32.448297,-117.023288,32.525278,-3.269999997,DP,2
5,6,1,13.60638889,20.25833333,11005.4,-116.963961,32.507047,-117.031509,32.531578,3.708333337,INCREMENTO,1
1,6,1,14.22333333,24.655,9629.5,-116.885141,32.513557,-116.963873,32.506716,-8.655,DM,3
4,6,1,14.68027778,6.538333333,1635.8,-116.949388,32.471238,-116.943662,32.484882,-1.538333333,INCREMENTO,1
7,6,1,14.80055556,14.22833333,6060,-116.954412,32.502786,-116.907296,32.499279,-6.378333333,DP,2
1,6,1,15.94611111,4.018333333,1027.4,-116.861835,32.492272,-116.868506,32.494281,0.815,INCREMENTO,1
4,7,1,6.922222222,25.87166667,19167.5,-116.862125,32.475778,-117.010092,32.525408,-3.321666667,DP,2
5,7,1,9.830833333,1.44,401.5,-116.971102,32.519006,-116.969578,32.516473,-0.19,INCREMENTO,1
4,7,1,9.919444444,17.47833333,5072.2,-116.880575,32.46095,-116.868585,32.494272,-6.278333333,DP,2
6,7,1,13.04138889,11.65166667,2931.5,-116.974147,32.49176,-116.967035,32.49977,-6.901666667,DM,3
2,7,1,13.29722222,1.671666667,519.8,-116.881228,32.446227,-116.885095,32.44814,0.345,INCREMENTO,1
1,7,1,14.5125,3.881666667,2424.6,-116.90354,32.462133,-116.885013,32.44804,-1.348333334,INCREMENTO,1
6,7,1,14.53944444,4.998333333,2324.5,-116.992453,32.51968,-117.009975,32.525515,2.085,INCREMENTO,1
5,7,1,15.43055556,10.50666667,1277.3,-116.986746,32.510941,-116.986259,32.521895,-6.573333334,DM,3
6,7,1,16.44888889,4.938333333,2827.9,-116.987408,32.515762,-116.964017,32.506877,-0.671666666,INCREMENTO,1
5,7,1,16.99388889,6.023333333,2269.4,-117.003644,32.52086,-117.008413,32.522138,3.993333337,INCREMENTO,1
7,7,1,17.09027778,39.07666667,33475.3,-116.934928,32.381264,-116.969729,32.508247,-16.67666667,DM,3
1,7,1,17.66666667,18.74833333,13201,-116.975443,32.506387,-116.885084,32.448023,-7.231666663,DM,3
4,7,1,17.87527778,26.49,15070.6,-116.941165,32.493943,-116.868855,32.494357,-10.47333333,DM,3
6,7,1,18.4725,21.89166667,7258.6,-116.965488,32.505627,-116.970468,32.456737,2.958333333,INCREMENTO,1
1,7,1,19.00638889,0.96,256,-116.926933,32.447803,-116.925433,32.449726,1.04,INCREMENTO,1
2,7,1,20.40944444,2.75,1243,-116.924648,32.468972,-116.926392,32.476307,-0.116666667,INCREMENTO,1
4,7,1,21.89277778,17.41333333,16101.7,-116.9039,32.454158,-117.010088,32.525567,-5.846666663,DP,2
1,7,1,22.86138889,28.02666667,16134.7,-116.931704,32.440833,-117.009746,32.52078,2.106666663,INCREMENTO,1
2,1,1,0.596111111,6.763333333,3895.5,-116.91689,32.46736,-116.885147,32.44818,-2.113333333,DP,2
6,1,1,7.034722222,5.368333333,1373.4,-116.965445,32.505145,-116.969457,32.50248,-2.801666666,DP,2
