No UNIDAD,DIA,MES,HORA SALIDA,TIEMPO DE VIAJE,DISTANCIA METROS,LONGITUD SALIDA,LATITUD SALIDA,LONGITUD LLEGADA,LATITUD LLEGADA,DT,SALIDA,SALIDA2
7,3,2,11.05055556,2.38,1317.9,-116.966204,32.505984,-116.979177,32.510037,-0.38,INCREMENTO,1
1,3,2,15.46277778,6.875,4411.9,-116.936466,32.384061,-116.94339,32.403006,-0.008333333,INCREMENTO,1
2,3,2,19.03555556,5.53,1393.2,-116.885752,32.460417,-116.885793,32.460485,-5.346666667,DP,2
7,3,2,20.27861111,1.015,245.7,-117.020239,32.526821,-117.022252,32.528234,2.985,INCREMENTO,1
2,3,2,20.92222222,1.943333333,802.6,-116.88457,32.44858,-116.885057,32.44809,0.24,INCREMENTO,1
4,3,2,20.99611111,3.556666667,1478.3,-116.918182,32.49737,-116.902778,32.499377,-1.556666667,INCREMENTO,1
3,3,2,21.3325,10.72666667,9622.4,-116.953413,32.502059,-116.885072,32.448804,0.273333333,INCREMENTO,1
1,3,2,22.10166667,26.015,14824.9,-116.875617,32.439529,-116.969763,32.508308,-8.015,DM,3
2,3,2,22.4575,18.60666667,17546.8,-116.849043,32.468587,-116.955602,32.390532,-2.456666667,DP,2
1,4,2,10.69194444,5.695,1943.7,-116.873324,32.473467,-116.868771,32.487672,-1.695,INCREMENTO,1
3,4,2,10.7125,90.46166667,46612.6,-116.754293,32.310118,-116.868521,32.494242,-24.57833334,DM,3
1,4,2,11.70805556,15.79166667,5740.8,-116.868854,32.493078,-116.824146,32.484822,-3.858333337,DP,2
4,4,2,11.68444444,5.253333333,4000.5,-116.918823,32.461423,-116.885198,32.4481,-1.586666666,INCREMENTO,1
3,4,2,15.31555556,9.805,3668.8,-116.881575,32.491889,-116.916678,32.498283,-4.805,DP,2
3,4,2,15.74916667,6.718333333,4362.6,-116.963729,32.509689,-116.939886,32.491602,-4.718333333,DP,2
2,4,2,17.78222222,16.13166667,12067.4,-117.010097,32.525388,-116.92551,32.468227,-3.514999997,DP,2
6,4,2,19.20722222,3.835,994,-116.972085,32.512065,-116.969735,32.508337,0.248333333,INCREMENTO,1
3,4,2,19.48111111,24.85666667,10171.2,-116.86861,32.496742,-116.906837,32.474575,-13.92333334,DM,3
3,4,2,20.99888889,34.94666667,22547.4,-116.963108,32.520426,-116.819819,32.484217,13.07,INCREMENTO,1
1,4,2,22.22805556,15.09166667,6805.5,-116.914832,32.498439,-116.969766,32.508313,-2.091666667,DP,2
8,5,2,8.846111111,11.51166667,4760,-117.083726,32.533393,-117.086929,32.503124,-1.578333334,INCREMENTO,1
2,5,2,13.18777778,1.653333333,808.6,-116.873603,32.46794,-116.873232,32.475197,-0.653333333,INCREMENTO,1
1,5,2,13.99611111,3.086666667,975.8,-116.835337,32.523745,-116.825348,32.523035,1.913333333,INCREMENTO,1
4,5,2,16.02611111,9.631666667,4705.5,-116.87283,32.478413,-116.884622,32.44871,2.985000003,INCREMENTO,1
2,5,2,16.00027778,1.89,428.8,-116.88852,32.501302,-116.888985,32.501335,-0.89,INCREMENTO,1
4,5,2,17.25416667,36.79,18620.3,-116.96674,32.426058,-117.009988,32.525463,-8.79,DM,3
4,5,2,19.37361111,11.12,10452.1,-116.885265,32.448285,-116.957973,32.507,-0.77,INCREMENTO,1
1,5,2,19.88472222,16.19833333,11059.5,-116.956047,32.503994,-116.873576,32.461898,1.818333337,INCREMENTO,1
2,5,2,20.64916667,1.678333333,516.3,-116.892167,32.501408,-116.886675,32.501117,3.321666667,INCREMENTO,1
2,6,2,1.061111111,4.648333333,1682.8,-116.877607,32.502547,-116.868857,32.494223,-0.331666666,INCREMENTO,1
6,6,2,1.473611111,2.67,860.4,-116.988363,32.510892,-116.995302,32.509907,1.096666667,INCREMENTO,1
6,6,2,6.621666667,4.04,2835.4,-116.985002,32.516947,-117.010035,32.525543,-0.856666667,INCREMENTO,1
6,6,2,7.841666667,1.011666667,119.8,-116.961368,32.515482,-116.960512,32.515685,0.305,INCREMENTO,1
4,6,2,7.8575,17.16,12293,-116.904238,32.45423,-116.963833,32.50674,-4.14333333,DP,2
4,6,2,9.007222222,14.31,3779.7,-116.868803,32.44392,-116.873105,32.475417,-5.66,DP,2
5,6,2,11.27555556,5.991666667,2168.5,-116.950085,32.496596,-116.964106,32.506755,-0.975,INCREMENTO,1
4,6,2,12.51277778,9.54,4000.1,-116.910637,32.511342,-116.877933,32.506485,-1.073333333,INCREMENTO,1
6,6,2,14.65916667,1.253333333,425.9,-116.963973,32.506985,-116.967222,32.506847,1.03,INCREMENTO,1
6,6,2,16.64972222,1.191666667,369.3,-116.983937,32.508715,-116.981365,32.507628,-0.191666667,INCREMENTO,1
4,6,2,16.85666667,4.383333333,1813.5,-116.911322,32.498868,-116.892413,32.501337,2.616666667,INCREMENTO,1
5,6,2,17.63555556,11.81666667,6529.1,-116.943149,32.510415,-116.908232,32.538949,-3.816666667,DP,2
6,6,2,18.60666667,10.44833333,3154.1,-116.948823,32.487948,-116.963978,32.506907,-4.965,DP,2
2,6,2,20.7725,11.015,10423.8,-116.885115,32.448152,-116.957755,32.506838,-2.231666667,DP,2
4,6,2,21.36861111,5.168333333,1390.6,-116.969758,32.5084,-116.969098,32.502818,-1.185,INCREMENTO,1
1,6,2,21.80833333,2.698333333,1388.4,-116.937582,32.383794,-116.932784,32.375593,0.301666667,INCREMENTO,1
6,6,2,23.42333333,15.57666667,4240.6,-116.97002,32.45685,-116.943773,32.484842,3.006666663,INCREMENTO,1
5,7,2,6.580277778,4.093333333,1590.1,-116.998125,32.518072,-117.010053,32.525547,-1.093333333,INCREMENTO,1
5,7,2,11.00416667,22.81833333,8184.7,-116.965459,32.460814,-116.964131,32.506716,-5.185000003,DP,2
4,7,2,13.90638889,2.225,163.3,-116.893062,32.458168,-116.892902,32.458977,-0.791666667,INCREMENTO,1
5,7,2,14.54611111,18.09666667,9186.5,-116.961013,32.495746,-116.983258,32.461702,5.936666663,INCREMENTO,1
2,7,2,15.18083333,3.955,1676.4,-116.885117,32.44816,-116.877057,32.456088,2.261666667,INCREMENTO,1
4,7,2,15.43555556,39.03166667,29703.1,-116.944133,32.468058,-116.737953,32.514212,-0.498333337,INCREMENTO,1
2,7,2,16.58333333,12.54666667,6428.9,-116.886995,32.460373,-116.925008,32.451287,3.820000003,INCREMENTO,1
6,7,2,20.33833333,3.348333333,2324.8,-116.982063,32.515478,-116.963983,32.506895,-0.248333333,INCREMENTO,1
3,7,2,20.44722222,9.068333333,3191.8,-116.94174,32.489237,-116.964498,32.507278,5.298333337,INCREMENTO,1
4,7,2,20.81666667,31.57,26216.3,-116.794035,32.501245,-116.632297,32.557533,-1.88666667,DP,2
7,7,2,20.83527778,13.63,12404.5,-117.016578,32.469141,-117.091784,32.530593,-0.61333333,INCREMENTO,1
7,7,2,21.50222222,10.93666667,4717.1,-117.035164,32.52557,-116.992534,32.509102,18.11333333,INCREMENTO,1
6,7,2,22.57722222,10.505,8268.6,-116.936545,32.50034,-117.009992,32.525515,-1.788333333,INCREMENTO,1
4,7,2,23.06611111,5.756666667,2101.5,-116.969827,32.508465,-116.963935,32.506935,-1.256666667,INCREMENTO,1
5,7,2,23.62138889,2.363333333,709.6,-116.969861,32.50785,-116.963973,32.506863,-1.363333333,INCREMENTO,1
3,1,2,7.913888889,0.54,113.1,-116.884436,32.448252,-116.885174,32.448181,0.46,INCREMENTO,1
5,1,2,10.68611111,3.06,710.8,-116.969022,32.510879,-116.964116,32.506778,-1.06,INCREMENTO,1
6,1,2,15.25194444,5.223333333,1436.7,-116.962357,32.514555,-116.96405,32.506877,-1.856666666,INCREMENTO,1
1,1,2,20.10916667,10.94,4073,-116.971138,32.503844,-116.943007,32.502699,5.44333333,INCREMENTO,1
2,1,2,20.27138889,5.838333333,2112.1,-116.969757,32.508417,-116.964025,32.50685,2.078333334,INCREMENTO,1
7,1,2,20.43611111,5.62,1408.4,-116.97803,32.501819,-116.971367,32.494834,-0.62,INCREMENTO,1
1,1,2,20.8725,22.88,17310,-116.884076,32.447529,-116.959589,32.388825,-5.88,DP,2
5,1,2,21.71333333,2.976666667,571.9,-116.988966,32.48092,-116.985253,32.484775,-0.976666667,INCREMENTO,1
5,1,2,22.2325,2.261666667,935.1,-116.970698,32.508271,-116.965747,32.505498,0.671666666,INCREMENTO,1
7,1,2,22.70194444,1.25,301,-117.041898,32.437284,-117.042683,32.438474,-0.55,INCREMENTO,1
6,1,2,23.20833333,10.87833333,4502.3,-116.976475,32.509602,-117.010102,32.525545,-5.278333333,DP,2
5,1,2,23.39694444,6.255,968.1,-116.969586,32.494192,-116.974378,32.489827,-1.238333333,INCREMENTO,1
1,2,2,8.199722222,1.18,474.5,-116.934895,32.378227,-116.932776,32.375617,0.82,INCREMENTO,1
4,2,2,8.341388889,31.98666667,23898.7,-116.818002,32.482125,-117.009973,32.525478,5.463333333,INCREMENTO,1
6,2,2,8.347222222,8,1966.9,-116.972415,32.465235,-116.966427,32.462388,-1.9,DP,2
5,2,2,9.033888889,13.04166667,7915,-116.960164,32.506177,-116.909011,32.53873,0.908333333,INCREMENTO,1
6,2,2,10.13222222,5.69,1958.4,-116.971022,32.530652,-116.95897,32.531393,-1.873333333,DP,2
4,2,2,11.35333333,2.281666667,959.4,-116.873387,32.475835,-116.881278,32.47978,0.718333333,INCREMENTO,1
4,2,2,12.85861111,13.025,9434.6,-116.868912,32.542273,-116.868523,32.494353,0.60833333,INCREMENTO,1
9,2,2,13.90666667,12.74,757.6,-116.968188,32.497282,-116.96387,32.502743,-8.74,DM,3
4,2,2,13.98611111,10.655,3463.6,-116.86857,32.494312,-116.855983,32.513882,-3.971666667,DP,2
9,2,2,15.215,5.341666667,1188.8,-116.894658,32.537752,-116.89364,32.540687,-3.525,DP,2
4,2,2,17.80611111,2.336666667,571.6,-116.891303,32.501565,-116.890297,32.498367,0.096666666,INCREMENTO,1
