No UNIDAD,DIA,MES,HORA SALIDA,TIEMPO DE VIAJE,DISTANCIA METROS,LONGITUD SALIDA,LATITUD SALIDA,LONGITUD LLEGADA,LATITUD LLEGADA,DT,SALIDA,SALIDA2
6,6,4,0.188055556,17.275,6428.4,-116.96411,32.506838,-116.95521,32.46772,-10.975,DM,3
1,6,4,0.453888889,12.53666667,2079.9,-116.890312,32.459437,-116.873042,32.465586,-8.536666667,DM,3
5,6,4,0.718055556,18.385,8746.9,-116.96343,32.503427,-117.000677,32.472246,2.54833333,INCREMENTO,1
6,6,4,2.019444444,9.845,3812.4,-116.963977,32.506955,-116.945102,32.518483,-3.061666667,DP,2
4,6,4,3.627777778,10.155,3888.6,-116.885172,32.44816,-116.90912,32.449697,-1.371666667,INCREMENTO,1
4,6,4,3.8075,11.21,4982.5,-116.90904,32.450267,-116.92639,32.476333,-3.71,DP,2
9,6,4,4.276388889,19.32166667,13301.2,-117.042738,32.438503,-117.052593,32.495398,-7.471666667,DM,3
9,6,4,5.66,21.37,15424.4,-117.028362,32.524852,-117.054148,32.485897,-12.67,DM,3
1,6,4,7.334722222,1.028333333,177.9,-116.893005,32.457433,-116.892337,32.458777,-0.028333333,INCREMENTO,1
5,6,4,8.3975,5.998333333,1659.9,-116.965521,32.505633,-116.971562,32.493918,-2.981666666,DP,2
6,6,4,8.623888889,5.335,1638.4,-116.98011,32.502313,-116.97006,32.498513,-0.218333333,INCREMENTO,1
6,6,4,9.689166667,14.925,6269.1,-116.964165,32.50678,-117.00295,32.487158,-3.325,DP,2
5,6,4,10.69805556,29.975,11300.4,-116.98454,32.521237,-116.966709,32.462008,-14.95833333,DM,3
6,6,4,10.68527778,13.14,4701.8,-116.963987,32.506923,-116.980092,32.481717,-1.84,INCREMENTO,1
2,6,4,11.10888889,28.72833333,12357.7,-116.885285,32.448255,-116.792583,32.508758,-12.16166666,DM,3
1,6,4,11.26444444,10.04666667,6283.8,-116.871514,32.444851,-116.838746,32.455661,-3.046666667,DP,2
5,6,4,11.91472222,23.43,11895.5,-116.984604,32.519737,-116.905287,32.488568,-5.43,DP,2
9,6,4,12.32305556,19.355,18139.4,-117.018603,32.53313,-117.016405,32.471797,-6.555,DM,3
2,6,4,15.26638889,18.50666667,9712.4,-116.885187,32.448135,-116.953005,32.433415,-6.973333337,DM,3
6,6,4,15.59194444,3.575,2353.4,-116.990108,32.517298,-117.010088,32.525537,-0.675,INCREMENTO,1
6,6,4,15.90555556,21.46166667,17285.2,-116.980565,32.515237,-117.042142,32.537652,-7.061666667,DM,3
1,6,4,17.28194444,14.45166667,4181.1,-116.891609,32.459041,-116.871985,32.484322,-8.518333334,DM,3
2,6,4,17.27694444,20.73166667,15145.8,-116.885125,32.448175,-116.833742,32.511827,-7.731666667,DM,3
4,6,4,17.43416667,16.77166667,8345.7,-116.933103,32.37553,-116.963443,32.40985,-1.321666667,INCREMENTO,1
1,6,4,17.56416667,7.188333333,2815.6,-116.873736,32.468351,-116.849335,32.475184,-1.188333333,INCREMENTO,1
3,6,4,17.56388889,14.36333333,6061.2,-116.877024,32.502647,-116.826233,32.491414,-2.363333333,DP,2
5,6,4,18.4525,22.66166667,9644,-116.98452,32.521333,-116.953344,32.472414,-8.644999997,DM,3
10,6,4,18.43222222,18.83666667,6743.8,-116.955528,32.4983,-116.90712,32.503765,-4.519999997,DP,2
1,6,4,18.85305556,9.476666667,3118.3,-116.893016,32.458098,-116.866022,32.458864,-2.476666667,DP,2
6,6,4,18.86388889,19.69833333,8577.5,-116.964068,32.506873,-116.904878,32.48931,-6.365000003,DP,2
9,6,4,19.21277778,20.35333333,9710.9,-117.042822,32.438555,-117.054093,32.485978,-9.520000003,DM,3
1,6,4,19.42194444,0.99,297.3,-116.890621,32.44343,-116.891227,32.442642,-0.056666667,INCREMENTO,1
9,6,4,20.40111111,20.49833333,10757.3,-117.022005,32.516637,-117.029327,32.442975,-7.248333333,DM,3
5,6,4,21.08583333,9.621666667,3761.5,-116.958254,32.505491,-116.946608,32.484048,-4.688333334,DP,2
9,6,4,21.32666667,24.03,11360.4,-117.01401,32.442948,-117.0833,32.490178,-0.88,INCREMENTO,1
10,7,4,0.831666667,13.13166667,3806.4,-116.965652,32.505417,-116.981918,32.478993,-1.998333337,DP,2
2,7,4,0.982777778,14.67,6372.5,-116.885092,32.448153,-116.83556,32.478825,-4.62,DP,2
3,7,4,1.842777778,1.86,713.6,-116.87634,32.485717,-116.876275,32.485676,1.14,INCREMENTO,1
4,7,4,2.590555556,8.681666667,6024.3,-116.932705,32.375607,-116.942867,32.40195,0.701666666,INCREMENTO,1
6,7,4,4.682777778,6.736666667,1692.7,-116.963862,32.506783,-116.971827,32.501447,0.646666666,INCREMENTO,1
10,7,4,7.721666667,19.74,11416.4,-116.965038,32.506123,-117.036122,32.487437,-8.57333333,DM,3
6,7,4,7.794722222,14.63166667,8370.8,-116.9641,32.506835,-117.013755,32.536323,-5.265,DP,2
4,7,4,7.970833333,18.50333333,12029.8,-116.924915,32.469415,-117.000087,32.474177,-5.753333333,DP,2
6,7,4,9.634166667,13.17333333,3005.6,-116.957172,32.498522,-116.969423,32.492778,-5.456666666,DP,2
