No UNIDAD,DIA,MES,HORA SALIDA,TIEMPO DE VIAJE,DISTANCIA METROS,LONGITUD SALIDA,LATITUD SALIDA,LONGITUD LLEGADA,LATITUD LLEGADA,DT,SALIDA,SALIDA2
6,6,4,0.188055556,22.28333333,6323,-116.96411,32.506838,-116.95521,32.46772,-15.98333333,DM,3
1,6,4,0.453888889,8.933333333,2075,-116.890312,32.459437,-116.873042,32.465586,-4.93333333,DP,2
5,6,4,0.718055556,13.03333333,6181,-116.96343,32.503427,-117.000677,32.472246,7.9,INCREMENTO,1
6,6,4,2.019444444,9.033333333,3829,-116.963977,32.506955,-116.945102,32.518483,-2.25,DP,2
4,6,4,3.627777778,9.266666667,3881,-116.885172,32.44816,-116.90912,32.449697,-0.48333333,INCREMENTO,1
4,6,4,3.8075,12.06666667,4988,-116.90904,32.450267,-116.92639,32.476333,-4.56666667,DP,2
9,6,4,4.276388889,20.96666667,13257,-117.042738,32.438503,-117.052593,32.495398,-9.11666667,DM,3
9,6,4,5.66,19.5,8252,-117.028362,32.524852,-117.054148,32.485897,-10.8,DM,3
1,6,4,7.334722222,0.35,179,-116.893005,32.457433,-116.892337,32.458777,0.65,INCREMENTO,1
5,6,4,8.3975,3.4,1644,-116.965521,32.505633,-116.971562,32.493918,-0.38333333,INCREMENTO,1
6,6,4,8.623888889,4.9,1295,-116.98011,32.502313,-116.97006,32.498513,0.21666667,INCREMENTO,1
6,6,4,9.689166667,12.46666667,6265,-116.964165,32.50678,-117.00295,32.487158,-0.86666667,INCREMENTO,1
5,6,4,10.69805556,20.91666667,11348,-116.98454,32.521237,-116.966709,32.462008,-5.9,DP,2
6,6,4,10.68527778,10.31666667,4535,-116.963987,32.506923,-116.980092,32.481717,0.98333333,INCREMENTO,1
2,6,4,11.10888889,21.91666667,14762,-116.885285,32.448255,-116.792583,32.508758,-5.35,DP,2
1,6,4,11.26444444,8.4,7542,-116.871514,32.444851,-116.838746,32.455661,-1.4,INCREMENTO,1
5,6,4,11.91472222,18.36666667,11580,-116.984604,32.519737,-116.905287,32.488568,-0.36666667,INCREMENTO,1
9,6,4,12.32305556,15.1,8081,-117.018603,32.53313,-117.016405,32.471797,-2.3,DP,2
2,6,4,15.26638889,18.98333333,9698,-116.885187,32.448135,-116.953005,32.433415,-7.45,DM,3
6,6,4,15.59194444,3.516666667,2341,-116.990108,32.517298,-117.010088,32.525537,-0.61666667,INCREMENTO,1
6,6,4,15.90555556,26.63333333,12063,-116.980565,32.515237,-117.042142,32.537652,-12.23333333,DM,3
1,6,4,17.28194444,14.25,4237,-116.891609,32.459041,-116.871985,32.484322,-8.31666667,DM,3
2,6,4,17.27694444,24.4,14054,-116.885125,32.448175,-116.833742,32.511827,-11.4,DM,3
4,6,4,17.43416667,16.1,8302,-116.933103,32.37553,-116.963443,32.40985,-0.65,INCREMENTO,1
1,6,4,17.56416667,11.18333333,2825,-116.873736,32.468351,-116.849335,32.475184,-5.18333333,DP,2
3,6,4,17.56388889,20.33333333,7227,-116.877024,32.502647,-116.826233,32.491414,-8.33333333,DM,3
