No UNIDAD,DIA,MES,HORA SALIDA,TIEMPO DE VIAJE,DISTANCIA METROS,LONGITUD SALIDA,LATITUD SALIDA,LONGITUD LLEGADA,LATITUD LLEGADA,DT,SALIDA,SALIDA2,,,
3,7,2,20.44722222,17.63333333,3583,-116.94174,32.489237,-116.964498,32.507278,-3.266666667,DP,2,,,
4,7,2,20.81666667,34.63333333,26201,-116.794035,32.501245,-116.632297,32.557533,-4.95,DP,2,,,
7,7,2,20.83527778,14.73333333,12420,-117.016578,32.469141,-117.091784,32.530593,-1.716666667,INCREMENTO,1,,,
7,7,2,21.50222222,29.6,4716,-117.035164,32.52557,-116.992534,32.509102,-0.55,INCREMENTO,1,,,
6,7,2,22.57722222,13.61666667,8276,-116.936545,32.50034,-117.009992,32.525515,-4.9,DP,2,,,
4,7,2,23.06611111,7.766666667,1281,-116.969827,32.508465,-116.963935,32.506935,-3.266666667,DP,2,,,
5,7,2,23.62138889,4.25,755,-116.969861,32.50785,-116.963973,32.506863,-3.25,DP,2,,,
3,1,2,7.913888889,0.8,112,-116.884436,32.448252,-116.885174,32.448181,0.2,INCREMENTO,1,,,
5,1,2,10.68611111,3.15,711,-116.969022,32.510879,-116.964116,32.506778,-1.15,INCREMENTO,1,,,
6,1,2,15.25194444,4.066666667,1489,-116.962357,32.514555,-116.96405,32.506877,-0.7,INCREMENTO,1,,,
1,1,2,20.10916667,14.81666667,4259,-116.971138,32.503844,-116.943007,32.502699,1.566666667,INCREMENTO,1,,,
2,1,2,20.27138889,7.3,1369,-116.969757,32.508417,-116.964025,32.50685,0.616666667,INCREMENTO,1,,,
7,1,2,20.43611111,6.45,1696,-116.97803,32.501819,-116.971367,32.494834,-1.45,INCREMENTO,1,,,
1,1,2,20.8725,24.51666667,15331,-116.884076,32.447529,-116.959589,32.388825,-7.516666667,DM,3,,,
5,1,2,21.71333333,0.683333333,571,-116.988966,32.48092,-116.985253,32.484775,1.316666667,INCREMENTO,1,,,
5,1,2,22.2325,4.183333333,935,-116.970698,32.508271,-116.965747,32.505498,-1.25,INCREMENTO,1,,,
7,1,2,22.70194444,0.683333333,242,-117.041898,32.437284,-117.042683,32.438474,0.016666667,INCREMENTO,1,,,
6,1,2,23.20833333,14.58333333,4398,-116.976475,32.509602,-117.010102,32.525545,-8.983333333,DM,3,,,
5,1,2,23.39694444,4.683333333,982,-116.969586,32.494192,-116.974378,32.489827,0.333333333,INCREMENTO,1,,,
1,2,2,8.199722222,1.25,473,-116.934895,32.378227,-116.932776,32.375617,0.75,INCREMENTO,1,,,
4,2,2,8.341388889,34.23333333,23683,-116.818002,32.482125,-117.009973,32.525478,3.216666667,INCREMENTO,1,,,
6,2,2,8.347222222,6,1942,-116.972415,32.465235,-116.966427,32.462388,0.1,INCREMENTO,1,,,
5,2,2,9.033888889,11.45,7908,-116.960164,32.506177,-116.909011,32.53873,2.5,INCREMENTO,1,,,
6,2,2,10.13222222,6.05,2010,-116.971022,32.530652,-116.95897,32.531393,-2.233333333,DP,2,,,
4,2,2,11.35333333,2.566666667,975,-116.873387,32.475835,-116.881278,32.47978,0.433333333,INCREMENTO,1,,,
4,2,2,12.85861111,13.2,9625,-116.868912,32.542273,-116.868523,32.494353,0.433333333,INCREMENTO,1,,,
9,2,2,13.90666667,2.083333333,730,-116.968188,32.497282,-116.96387,32.502743,1.916666667,INCREMENTO,1,,,
4,2,2,13.98611111,11.38333333,3924,-116.86857,32.494312,-116.855983,32.513882,-4.7,DP,2,,,
9,2,2,15.215,1.8,524,-116.894658,32.537752,-116.89364,32.540687,0.016666667,INCREMENTO,1,,,
4,2,2,17.80611111,2.833333333,561,-116.891303,32.501565,-116.890297,32.498367,-0.4,INCREMENTO,1,,,
6,2,2,19.10027778,16.58333333,4660,-116.976387,32.504753,-117.010123,32.525542,-7.483333333,DM,3,,,
6,2,2,20.93944444,21.46666667,5546,-116.952748,32.468783,-116.92638,32.476388,-12.71666667,DM,3,,,
1,2,2,21.07388889,26.38333333,18455,-116.920749,32.46264,-116.932774,32.375623,2.416666667,INCREMENTO,1,,,
6,3,2,6.793055556,2.6,738,-116.961668,32.502703,-116.9639,32.50688,0.4,INCREMENTO,1,,,
3,3,2,7.292222222,1.283333333,369,-116.885972,32.448917,-116.882574,32.449093,0.716666667,INCREMENTO,1,,,
2,3,2,8.8325,2.366666667,1665,-116.86981,32.444598,-116.886292,32.444733,0.65,INCREMENTO,1,,,
6,3,2,11.8075,13.73333333,14661,-116.889053,32.544327,-116.85319,32.542338,-10.73333333,DM,3,,,
6,3,2,12.235,1.05,143,-116.926375,32.477723,-116.92635,32.476465,-0.05,INCREMENTO,1,,,
4,3,2,12.80277778,1.25,829,-116.917275,32.469103,-116.911998,32.463672,0.266666667,INCREMENTO,1,,,
6,3,2,13.74416667,12.4,6275,-116.904867,32.544915,-116.925382,32.509507,4.066666667,INCREMENTO,1,,,
4,3,2,13.99638889,1.333333333,420,-116.909218,32.450962,-116.911593,32.451362,2.383333333,INCREMENTO,1,,,
2,3,2,14.99333333,3.183333333,429,-116.885303,32.448302,-116.885023,32.448477,-2.183333333,DP,2,,,
4,3,2,15.07083333,21.66666667,8025,-116.873643,32.46205,-116.932155,32.476618,-9.316666667,DM,3,,,
4,3,2,15.4725,10.13333333,4811,-116.932603,32.479248,-116.926405,32.476373,-3.933333333,DP,2,,,
5,3,2,16.00055556,4.616666667,3292,-116.992335,32.51609,-116.963972,32.506857,1.4,INCREMENTO,1,,,
2,3,2,16.45361111,13.56666667,5403,-116.924643,32.475425,-116.885068,32.448113,1.833333333,INCREMENTO,1,,,
3,3,2,17.60416667,40.13333333,20072,-116.823822,32.497212,-116.942113,32.523023,-24.13333333,DM,3,,,
5,3,2,17.7825,3.416666667,680,-116.990292,32.481372,-116.992759,32.483521,-0.416666667,INCREMENTO,1,,,
6,3,2,17.92666667,6.516666667,1556,-117.010075,32.525503,-117.010535,32.523525,-1.85,DP,2,,,
2,3,2,18.89611111,16.28333333,12549,-116.969972,32.508452,-116.885135,32.448787,1.85,INCREMENTO,1,,,
5,3,2,19.00777778,7.5,1965,-116.955613,32.467627,-116.971072,32.457974,0.5,INCREMENTO,1,,,
4,3,2,19.4525,13.8,10958,-116.966488,32.499458,-116.887192,32.451347,0.616666667,INCREMENTO,1,,,
6,3,2,20.86222222,18.9,6125,-116.932168,32.483753,-116.964015,32.506902,40.91666667,INCREMENTO,1,,,
5,3,2,22.395,16.23333333,3056,-116.964401,32.5068,-116.953609,32.48783,-8.233333333,DM,3,,,
6,3,2,22.91694444,31.23333333,5342,-116.954808,32.479312,-116.969758,32.508265,-16.35,DM,3,,,
6,3,2,23.45194444,2.033333333,277,-116.969798,32.50842,-116.972013,32.508797,-0.966666667,INCREMENTO,1,,,
1,4,2,8.531111111,1.883333333,581,-116.896262,32.498809,-116.890134,32.49837,0.116666667,INCREMENTO,1,,,
6,4,2,9.496944444,0.283333333,103,-117.021085,32.521277,-117.020425,32.522003,0.716666667,INCREMENTO,1,,,
4,4,2,12.86277778,1.816666667,387,-116.884572,32.448635,-116.885175,32.448128,-0.683333333,INCREMENTO,1,,,
6,4,2,12.97027778,3.316666667,1391,-116.956703,32.499008,-116.964013,32.506855,1.15,INCREMENTO,1,,,
5,4,2,13.205,3.033333333,657,-116.954434,32.510849,-116.95795,32.507244,-0.033333333,INCREMENTO,1,,,
6,4,2,14.07388889,6.583333333,2331,-116.964015,32.507065,-116.983457,32.511257,-0.333333333,INCREMENTO,1,,,
5,4,2,14.21444444,2.85,886,-116.965168,32.50838,-116.971729,32.510859,1.15,INCREMENTO,1,,,
6,4,2,18.7175,2.983333333,540,-117.017508,32.518727,-117.01929,32.521908,-0.316666667,INCREMENTO,1,,,
2,4,2,19.92666667,2.3,427,-116.885295,32.448292,-116.884995,32.448483,-1.3,INCREMENTO,1,,,
5,4,2,21.13055556,12.43333333,6266,-117.009917,32.526621,-116.963978,32.506822,-1.95,DP,2,,,
2,4,2,21.74,17.83333333,6236,-116.930318,32.452742,-116.885082,32.448143,-8.866666667,DM,3,,,
5,4,2,22.68638889,3.016666667,1000,-116.927836,32.485186,-116.926359,32.47633,-1,INCREMENTO,1,,,
