No UNIDAD,DIA,MES,HORA SALIDA,TIEMPO DE VIAJE,DISTANCIA METROS,LONGITUD SALIDA,LATITUD SALIDA,LONGITUD LLEGADA,LATITUD LLEGADA,DT,SALIDA,SALIDA2
4,6,3,22.53333333,27.93333333,9050,-116.885255,32.448243,-116.86634,32.504637,-13.93333333,DM,3
7,6,3,22.78333333,6.566666667,1542,-117.013941,32.525599,-117.010134,32.525513,-2.566666667,DP,2
2,7,3,1.9,22.06666667,7448,-116.885158,32.44815,-116.941333,32.458173,0.933333333,INCREMENTO,1
4,7,3,2.366666667,55.13333333,22660,-117.010752,32.525833,-116.838588,32.474928,-22.13333333,DM,3
6,7,3,9.833333333,3.016666667,991,-116.97885,32.503805,-116.970722,32.501297,-1.016666667,INCREMENTO,1
3,7,3,11.83333333,6.616666667,2395,-116.894842,32.50162,-116.894603,32.519657,-1.616666667,INCREMENTO,1
4,7,3,11.8,2.116666667,1624,-116.885292,32.448257,-116.869888,32.444145,0.883333333,INCREMENTO,1
5,7,3,12.71666667,7.983333333,3763,-116.967332,32.506747,-117.005828,32.513872,-1.983333333,DP,2
6,7,3,14.4,6.116666667,1839,-116.956508,32.475147,-116.947778,32.486813,1.883333333,INCREMENTO,1
4,7,3,14.93333333,11.48333333,4169,-116.965945,32.509035,-116.933857,32.497577,-4.483333333,DP,2
1,7,3,15.7,28.18333333,20385,-116.868882,32.443913,-116.738297,32.514221,-12.18333333,DM,3
7,7,3,16.2,41.78333333,7706,-117.015315,32.473461,-117.010103,32.525506,-31.78333333,DM,3
5,7,3,17.1,17.68333333,7304,-116.96402,32.506814,-116.987366,32.469615,-4.683333333,DP,2
3,7,3,17.91666667,17.13333333,6555,-116.864234,32.470684,-116.861443,32.495801,-14.13333333,DM,3
5,7,3,18.81666667,10.6,2046,-116.947609,32.54202,-116.93512,32.543991,-6.6,DP,2
6,7,3,19.35,1.183333333,101,-117.008693,32.533415,-117.00846,32.53396,-0.183333333,INCREMENTO,1
5,7,3,19.85,9.5,1972,-116.965586,32.505647,-116.96576,32.497532,-3.5,DP,2
5,7,3,20.15,13.6,2355,-116.966529,32.496624,-116.964157,32.506738,-5.6,DP,2
3,7,3,20.48333333,9.866666667,8497,-116.94308,32.495018,-116.885131,32.447874,-0.866666667,INCREMENTO,1
2,7,3,20.91666667,39.76666667,13280,-116.9238,32.440195,-116.969852,32.508258,-17.76666667,DM,3
5,7,3,23.61666667,2.483333333,448,-116.976267,32.482953,-116.972694,32.482211,2.516666667,INCREMENTO,1
4,1,3,1.183333333,26.63333333,10714,-116.932673,32.375627,-116.965035,32.425328,2.366666667,INCREMENTO,1
1,1,3,3,4.7,2606,-116.91504,32.460414,-116.926392,32.476348,-0.7,INCREMENTO,1
1,1,3,8.133333333,0.966666667,437,-116.874349,32.457952,-116.873545,32.461694,0.033333333,INCREMENTO,1
1,1,3,9.25,10.76666667,8101,-116.875081,32.451159,-116.847008,32.472923,0.233333333,INCREMENTO,1
2,1,3,9.4,1,456,-116.926043,32.475055,-116.922805,32.476192,0,INCREMENTO,1
7,1,3,11.06666667,23.45,15254,-117.074402,32.481608,-117.010116,32.525515,-5.45,DP,2
4,1,3,11.48333333,3.75,3816,-116.918347,32.461352,-116.885457,32.44922,-0.75,INCREMENTO,1
4,1,3,12.66666667,10.75,5263,-116.865198,32.45425,-116.850497,32.486727,-3.75,DP,2
3,1,3,13.25,23.11666667,11476,-116.774253,32.489127,-116.756158,32.5247,8.883333333,INCREMENTO,1
5,1,3,13.51666667,0.916666667,868,-117.021406,32.462054,-117.022158,32.454899,3.083333333,INCREMENTO,1
4,1,3,14.15,9.066666667,3250,-116.880203,32.459293,-116.885115,32.448135,-2.066666667,DP,2
6,1,3,14.31666667,7.833333333,4666,-116.97511,32.51621,-117.008192,32.517587,0.166666667,INCREMENTO,1
6,1,3,14.81666667,4.933333333,3762,-117.002105,32.518118,-116.967075,32.509878,4.066666667,INCREMENTO,1
6,1,3,15.66666667,31.21666667,8019,-117.010518,32.471852,-116.961912,32.502775,-19.21666667,DM,3
3,1,3,15.91666667,2.166666667,272,-116.874423,32.466508,-116.87416,32.466474,4.833333333,INCREMENTO,1
5,1,3,16.01666667,12.66666667,3654,-116.899819,32.528344,-116.885021,32.543153,-3.666666667,DP,2
6,1,3,16.36666667,5.35,2003,-117.000705,32.460368,-117.015407,32.467558,0.65,INCREMENTO,1
5,1,3,17.96666667,10.28333333,3898,-116.964509,32.502086,-116.944907,32.516797,-3.283333333,DP,2
5,1,3,19.65,24.18333333,11173,-117.034853,32.524233,-116.965837,32.49886,-4.183333333,DP,2
1,1,3,21.06666667,1.133333333,220,-116.886233,32.455867,-116.885337,32.456596,0.866666667,INCREMENTO,1
3,1,3,21.31666667,1.033333333,113,-116.964246,32.506949,-116.963352,32.506973,-0.033333333,INCREMENTO,1
4,1,3,22.15,9.516666667,4979,-116.926415,32.476263,-116.957678,32.50673,-5.516666667,DP,2
3,1,3,22.71666667,0.783333333,189,-116.879379,32.524763,-116.880361,32.525449,6.216666667,INCREMENTO,1
3,1,3,23.36666667,34.2,10476,-116.925187,32.474987,-116.857697,32.493744,-14.2,DM,3
4,2,3,6.566666667,3.933333333,1560,-116.884918,32.447937,-116.885015,32.448022,-3.933333333,DP,2
7,2,3,6.833333333,5.8,1449,-117.021094,32.515631,-117.028264,32.524901,-0.8,INCREMENTO,1
1,2,3,8.1,1.833333333,692,-116.925971,32.475922,-116.921529,32.476775,0.166666667,INCREMENTO,1
7,2,3,9.6,7.633333333,5218,-117.019796,32.467487,-117.042758,32.438514,-0.633333333,INCREMENTO,1
2,2,3,9.833333333,7.133333333,7587,-116.937132,32.489167,-116.885112,32.44808,-1.133333333,INCREMENTO,1
5,2,3,10.2,7.65,5333,-116.962339,32.508533,-116.921312,32.48651,-1.65,INCREMENTO,1
7,2,3,10.66666667,15.95,11570,-117.032777,32.444846,-117.083257,32.47997,1.05,INCREMENTO,1
2,2,3,10.93333333,24.66666667,16858,-116.885215,32.448165,-116.776795,32.517978,-4.666666667,DP,2
5,2,3,10.93333333,6.683333333,3465,-116.901261,32.534017,-116.9164,32.538,-0.683333333,INCREMENTO,1
5,2,3,12.08333333,2.15,561,-116.96982,32.511562,-116.974673,32.511976,1.85,INCREMENTO,1
7,2,3,12.38333333,16.73333333,13571,-117.078982,32.479902,-116.965138,32.498013,-1.733333333,INCREMENTO,1
3,2,3,12.76666667,10.16666667,11049,-116.963866,32.507229,-116.885349,32.448223,-0.166666667,INCREMENTO,1
2,2,3,13.23333333,1.3,201,-116.894787,32.458388,-116.893092,32.458675,-0.3,INCREMENTO,1
1,2,3,13.41666667,1.983333333,497,-116.969836,32.511469,-116.965812,32.508686,0.016666667,INCREMENTO,1
5,2,3,13.6,0.616666667,230,-116.990669,32.515841,-116.988724,32.515404,0.383333333,INCREMENTO,1
7,2,3,13.73333333,10.68333333,6068,-117.015474,32.478297,-117.035893,32.443437,0.316666667,INCREMENTO,1
3,2,3,14.51666667,53.83333333,20837,-116.834294,32.493174,-116.962528,32.506932,-30.83333333,DM,3
7,2,3,14.86666667,27.01666667,11607,-117.030474,32.444428,-117.072586,32.478968,-15.01666667,DM,3
10,2,3,15,5.966666667,6088,-116.954853,32.504642,-117.010122,32.525447,1.033333333,INCREMENTO,1
5,2,3,17.56666667,17.15,8244,-116.961727,32.505617,-116.982148,32.460169,-2.15,DP,2
5,2,3,19.83333333,1.45,255,-116.984066,32.508661,-116.981651,32.507767,-0.45,INCREMENTO,1
4,2,3,20.46666667,15.31666667,6771,-117.009997,32.525572,-116.969693,32.50836,-4.316666667,DP,2
2,2,3,21.31666667,14.25,11056,-116.963968,32.507117,-116.885075,32.448092,-4.25,DP,2
4,2,3,22.68333333,4.25,1539,-116.63231,32.557443,-116.641712,32.563258,2.75,INCREMENTO,1
1,3,3,0.016666667,13.2,13060,-116.984645,32.515624,-116.885087,32.448802,-2.2,DP,2
5,3,3,0.233333333,7.766666667,1845,-116.958434,32.507398,-116.963954,32.506926,-4.766666667,DP,2
10,3,3,0.983333333,16.1,2705,-116.985178,32.50584,-116.964148,32.506742,-11.1,DM,3
7,3,3,8.3,0.7,214,-117.027092,32.518765,-117.027316,32.520684,0.3,INCREMENTO,1
10,3,3,8.35,8.266666667,5958,-116.963948,32.507035,-116.925485,32.521265,-2.266666667,DP,2
1,3,3,12.93333333,11.65,12279,-116.962735,32.508376,-116.891833,32.45656,52.35,INCREMENTO,1
5,3,3,13.66666667,9.016666667,9525,-116.888825,32.454009,-116.956858,32.506261,-0.016666667,INCREMENTO,1
3,3,3,13.53333333,7.533333333,2547,-116.886017,32.501635,-116.868701,32.494196,56.46666667,INCREMENTO,1
5,3,3,15.15,7.733333333,4874,-116.925948,32.474515,-116.957068,32.506354,-1.733333333,INCREMENTO,1
10,3,3,18.25,10.25,1894,-116.948298,32.502985,-116.953137,32.49053,-6.25,DP,2
3,3,3,19.08333333,19.55,4468,-116.869878,32.495156,-116.908614,32.499707,-12.55,DM,3
10,3,3,19.11666667,15.45,5312,-116.927242,32.50971,-116.926312,32.476377,-7.45,DM,3
1,3,3,19.11666667,2.15,1016,-116.890682,32.455734,-116.885134,32.448148,0.85,INCREMENTO,1
5,3,3,19.48333333,12.81666667,3174,-116.966477,32.499534,-116.964024,32.506826,-5.816666667,DP,2
3,3,3,19.53333333,5.9,1427,-116.958079,32.500169,-116.969808,32.508445,-2.9,DP,2
10,3,3,20.15,3.2,835,-116.977403,32.497375,-116.98468,32.495538,2.8,INCREMENTO,1
5,3,3,21.16666667,12.78333333,3020,-116.884594,32.55196,-116.905177,32.543979,-3.783333333,DP,2
5,3,3,22.21666667,7.45,4769,-116.962127,32.50833,-116.953599,32.531941,-1.45,INCREMENTO,1
4,4,3,0.666666667,40.56666667,13373,-116.954857,32.39461,-116.926307,32.476398,-14.56666667,DM,3
10,4,3,0.766666667,17.86666667,2280,-116.970767,32.490037,-116.96588,32.498773,-12.86666667,DM,3
5,4,3,1.383333333,2.983333333,406,-116.964072,32.504585,-116.964102,32.506733,-0.983333333,INCREMENTO,1
3,4,3,8.183333333,4.783333333,1159,-116.865066,32.503467,-116.866106,32.509523,0.216666667,INCREMENTO,1
